,Title,Datetime,Score,flag_alphachar
388,"I wear a balaclava to bed so if there's a home invasion, they'll think I'm part of the team.",1 month ago,5,1
389,I went to Wuhan and got sick right off the bat,1 month ago,20,1
390,"I went to a German massage parlor today and I must say, the whole experience was pretty hans on.",1 day ago,1,1
391,I went to a brothel where their motto is “The customer comes first.”,1 month ago,10,1
392,I went to a family restaurant and they refused to serve me a family.,18 days ago,375,1
393,"I went to a wedding on the weekend, and it was so emotional that even the cake was in tiers.",6 days ago,524,1
394,"I went to the park to play Frisbee with my son, but he's not very aerodynamic",5 months ago,300,1
395,I wished for bitches so the genie gave me all the men I ever called that,2 months ago,0,1
396,I woke up screaming this morning. My apologies to everyone in the staff meeting.,1 month ago,77,1
397,I wonder if Microsoft has an open office policy...,13 days ago,6,1
398,I wonder if Whoopi Goldberg's parents realized the irony when they made whoopie.,17 days ago,18,1
399,"I wonder if colorblind people read Colorado as just ""ado"".",10 months ago,33,1
400,I wonder if gun manuals have a troubleshooting section.,1 year ago,409,1
401,I wonder if my vet's receptionist realizes how many people's passwords she knows?,2 years ago,258,1
402,"I wonder if the guy who coined the term ""One Hit Wonder"" came up with any other phrases.",2 years ago,574,1
403,I would say a joke about time travel but you didn’t like it,10 months ago,111,1
404,"I'd blame my problems on earthquakes, but it'd be a faulty assertion.",1 day ago,4,1
405,I'd give my right arm to be ambidextrous.,11 months ago,238,1
406,"I'd like to have more self-esteem, but I don't deserve it. :(",2 months ago,301,1
407,"I'd never refuse a stranger's money, even if you paid me.",1 month ago,412,1
408,I'd tell you one of my self-deprecation jokes but none of them are any good.,1 year ago,242,1
409,I'm a fan of roller coasters but they do have their ups and downs,2 months ago,39,1
410,I'm all for gay marriage - why should hetero people have all the misery?,8 months ago,164,1
411,I'm always nervous when a woman sees me naked for the first time that she'll just scream and run out of the park.,27 days ago,25,1
412,"I'm always right. Thought I was wrong once, but it turned out i was mistaken.",10 months ago,217,1
413,I'm applying to guillotine school so I can ahead in life.,14 days ago,13,1
414,I'm getting so old that I have more back issues than a comic book store.,10 months ago,29,1
415,I'm going to the international orgasm museum... Wanna come?,20 days ago,21,1
416,I'm guilty of confessing to meaningless crimes.,15 days ago,11,1
417,"I'm here to self deprecate and chew bubble gum, and I forgot to bring gum because I'm the worst.",1 year ago,430,1
418,"I'm looking at the paper and wonder if anybody else notices this, people seem to be dying in alphabetical order.",9 days ago,2,1
419,"I'm mediocre, and that's okay.",2 months ago,16,1
420,"I'm not sure what FOMO means, but I fear I'm missing out on something.",9 months ago,61,1
421,I'm not very good at following thr,2 months ago,5,1
422,I'm only capricious when I want to be.,3 days ago,2,1
423,"I'm pretty sober, but I'm even prettier when you're drunk.",1 year ago,258,1
424,I'm seriously contemplating remarrying my ex wife but I'm scared she will realize that I'm just after my money,1 year ago,579,1
425,I'm so tired of being exhausted,14 days ago,8,1
426,I'm sub par at golf... Wait no im not sub par at golf,16 days ago,16,1
427,I'm thankful for my fingers because I can always count on them.,23 days ago,495,1
428,I've been caught red-handed lying about the colour of my body parts.,1 month ago,364,1
429,I've been diagnosed with a chronic fear of giants ~ feefiphobia.,8 months ago,70,1
430,I've been going through a lot right now and can't seem to find a parking space.,5 months ago,396,1
431,I've been prescribed anti-gloating cream. I can't wait to rub it in.,11 days ago,28,1
432,"I've been referred to a doctor with severe migraines, hopefully he's feeling better by the time we meet.",1 year ago,205,1
433,"I've decided to go to the casino more, in order to be my bettor self.",4 days ago,3,1
434,"I've decided to sell all my chiropractic magazines, I have lots of back issues.",8 months ago,56,1
435,"I've got two rulers: one for good measure, and another for good measure.",7 months ago,25,1
436,"I've just spent a £1000 on hiring a limousine,then found out it doesn't come with a driver, I can't believe I spent all that money and have nothing to chauffeur it.",1 year ago,459,1
437,I've just written my first joke about tantric sex. It's been a long time coming.,9 months ago,186,1
438,"I've never considered myself talented at all, but I just overheard the doctor say that he thinks I'm moderately artistic!",7 months ago,27,1
439,"I've not slept for 4 days, because that'd be too long",7 months ago,222,1
440,"I, for one, like Roman numerals",8 months ago,298,1
441,"I, for one, like Roman numerals.",8 months ago,298,1
442,Id give an arm and a leg to be a cripple,2 months ago,9,1
443,If 4 out of 5 people SUFFER from diarrhea… does that mean that one enjoys it?,1 year ago,347,1
444,"If I had a choice between ending world hunger or watching a mountain lion perform a guitar solo, everybody would eat but I'd regret it forever",17 days ago,12,1
445,If I had a dime for every time I showed myself to be bad at maths I'd have like 93 cents.,6 months ago,287,1
446,"If I offer to do something for you in exchange for calamari, that's known as a squid pro quo.",25 days ago,6,1
447,"If a blind prostitute tells you that you're hung, she's probably pulling your leg.",1 year ago,235,1
448,"If a blind prostitute tells you that you're the biggest she's ever felt, she might be pulling your leg.",3 months ago,427,1
449,"If a corporation is a person, then Enron employees killed people",1 day ago,1,1
450,"If a drug dealer can be arrested for impersonating a cop, then a cop should be arrested for impersonating a dealer",2 months ago,3,1
451,"If anyone has a good way of clearing ear wax, give me a shout.",9 months ago,212,1
452,"If anyone is wanting to send a rocketship to Uranus, they better plan on buying you dinner first.",7 days ago,2,1
453,"If anyone wants to come and talk about why my stuff keeps getting stolen, the door is always open.",5 months ago,62,1
454,"If at first you don't succeed, don't give up, go back and do it the way your wife told you to do it.",1 month ago,30,1
455,"If at first you don't succeed, sky diving isn't for you.",1 year ago,306,1
456,"If at first you don’t succeed, skydiving is not your sport.",10 months ago,40,1
457,If birds without a beak take ocer the world it would be Impeccable,2 months ago,3,1
458,"If calcium helps your bones, does white stuff make more white stuff.",10 days ago,3,1
459,"If every letter ""t"" was silent, we'd never hear the end of it.",1 year ago,588,1
460,"If everyone in the world was right handed, then there would be nobody left.",5 months ago,44,1
461,If humans had to build their houses like spiders I would literally shit bricks.,10 months ago,484,1
462,If i was god id change my name and have nothing to do with my past,1 month ago,4,1
463,If i were a superhero i'd be He'nt Man,1 month ago,1,1
464,If it wasn't for Hershery I would get no hugs or kisses.,1 month ago,5,1
465,"If it weren't for court dates, I wouldn't have any dates at all.",11 months ago,252,1
466,"If life gets you down, make a comforter",5 months ago,182,1
467,If light travels faster than the speed of sound then how come I can hear the guy in the BMW behind me honk before the light turns green?,2 months ago,77,1
468,"If my wife made a dollar for every sexist joke I make, she'd be $0.77 richer right now.",2 years ago,883,1
469,"If number 666 is evil, then 25.8069758011 is the root of all evil.",6 months ago,331,1
470,"If procrastination was an Olympic sport, I’ll participate in the next one.",2 years ago,280,1
471,"If pronouncing my b's as v's makes me sound Russian, Soviet",2 years ago,407,1
472,"If someone ever tells me I don’t know what I’m talking about, I let them know I can neither confirm nor deny.",1 month ago,35,1
473,"If sportsmen get athlete’s foot, do fighter pilots get mistletoe?",6 months ago,281,1
474,If the entire human population held hands around the equator a significant portion of them would drown.,1 year ago,232,1
475,If the fountain of youth is anything like a kids swimming pool its full of pee,18 days ago,2,1
476,"If the human body has two 'I's, how is multiple personality syndrome a disorder?",4 months ago,98,1
477,If the invisible man stops by and asks for me tell him I can’t see him.,3 months ago,37,1
478,"If there's one thing that makes me throw up, it's a dart board on a ceiling.",3 days ago,891,1
479,If two dudes ride a tandem bike together are they both riding bitch?,29 days ago,3,1
480,"If was a priest and you were a child, holy fuck.",2 months ago,9,1
481,If we canteloup lettuce marry!,19 days ago,19,1
482,"If we tell people that the brain is an app, maybe they will start using it",1 month ago,6,1
483,"If you cry in the shower, it looks like you're extra good at crying.",26 days ago,27,1
484,If you dont own territory you're always an extra terrestrial,2 months ago,119,1
485,If you don’t believe in human perseverance you clearly haven’t seen a smoker trying to use a broken lighter.,6 months ago,231,1
486,"If you ever miss 4:20 just wait until 4:22, because 4:22 is 4:20 too.",1 year ago,459,1
487,"If you get cold sores from sharing a light beer, does it count as corona virus?",3 days ago,5,1
488,"If you have coronavirus, you should get limes disease to go with that.",1 month ago,68,1
489,If you need to self isolate spend it with some teenagers they are experts at that,1 day ago,6,1
490,"If you need to start a fire by rubbing two sticks together, make sure they’re the same because then, you’ll have a match.",8 months ago,354,1
491,If you read my autobiography from back to front it's about a guy that hasn't sold a single copy of his book.,17 days ago,9,1
492,If you run in front of a car you'll get tired...But if you run behind the car you'll get exhausted,1 year ago,501,1
493,"If you suck on the trumpet, that's probably why...",12 months ago,90,1
494,"If you think quitting cigarettes is hard, try not being an asshole.",1 month ago,5,1
495,"If you thought swimming with dolphins was expensive, try swimming with sharks, it’ll cost you an arm and a leg.",7 months ago,279,1
496,"If you want a job in a moisturizer factory , you should apply daily",1 year ago,285,1
497,If you work at Microsoft you are using Microsoft office,2 months ago,217,1
498,"If you're applying to the Christian Mingle dating site, do not say you're ""Christian as fuck"".",1 month ago,52,1
499,"If you're consumed with existential dread, don't be",1 month ago,9,1
500,"If you're ever trapped under the snow, try not to panic... just sit there and chill.",2 months ago,344,1
501,"If you're here for the yodeling lesson, please form an orderly orderly orderly orderly queue.",1 year ago,397,1
502,If you're not supposed to abuse Cough Syrup why does it come with a shot glass?,11 months ago,333,1
503,"If you're worried that you might one day develop Alzheimer's disease, you can just forget about it.",10 months ago,28,1
504,"Im going to play Marco Polo with myself in the shower, when I find myself I'll get out.",8 months ago,73,1
505,Imagine having Aphantasia,23 days ago,20,1
506,"In Europe, Bigfoot is called Bigmeter",3 months ago,328,1
507,"In a Heat Death scenario, the entire Universe will be reduced to absolute zero temperatures. But don't worry - everything will be 0K.",6 months ago,44,1
508,In a noisy and crowded bar a Roman guy raises his hand and holds up two fingers and yells to the bartender “five beers please “,3 months ago,36,1
509,"In high school, my math teacher called me average and that was mean.",9 months ago,371,1
510,"In most cases, cell phones won't crack when you drop them",9 months ago,549,1
511,"In the Marvel Cinematic Universe, Iron Man was the first Fe-Male to get a movie.",11 months ago,261,1
512,In the circle of life you can find happiness in every corner,1 month ago,167,1
513,"In the movie ""Hook"", Tinkerbell came out as a big ""Pan""-sexual.",23 days ago,5,1
514,Inventing a new language is rewording,25 days ago,34,1
515,Is Greta Thunbergs favourite movie MadAtGasCar?,4 days ago,1,1
516,Is is possible to take epidermis from one person's buttocks and graft it to another? Arse skin for a friend.,3 months ago,324,1
517,"Is it just me, or are there other personal pronouns?",1 month ago,29,1
518,Is the s or the c in scent silent,29 days ago,13,1
519,Isn't it ironic that homelessness can be through the roof?,13 days ago,7,1
520,Isn’t it laconic,26 days ago,2,1
521,It takes a lot of balls to golf the way I do,11 months ago,50,1
522,It takes a lot of balls to golf the way I do.,9 months ago,280,1
523,It took me a long time to figure out I'm a slow learner.,10 months ago,448,1
524,"It took me a while to become a trainer for rock bands, but eventually I had all the Kinks worked out.",6 months ago,73,1
525,It took my girlfriend years to admit that she had a stutter.,1 month ago,64,1
526,"It was such fun packing myself into a suitcase, I could hardly contain myself.",11 months ago,31,1
527,"It wasn’t much fun having a broken neck, but now I can look back and laugh.",1 month ago,177,1
528,It would be so cool if we could reverse global warming.,7 months ago,322,1
529,"It's Pi Day, my birthday, but not my cake day.",2 days ago,0,1
530,"It's been so long since I had sex, I wear flip-flops to remind me what it sounds like.",10 months ago,46,1
531,It's not difficult to be an insomniac; I became one overnight.,1 year ago,224,1
532,"It's okay to marry your second cousin, as long as you're legally divorced from the first one.",23 days ago,23,1
533,"It’s easy to make holy water, just boil the hell out of it.",2 months ago,211,1
534,It’s estimated half the world is below average,29 days ago,44,1
535,I’d like to start dieting but I’ve got too much on my plate.,7 months ago,25,1
536,"I’d not heard of the Baader-Meinhof phenomenon until recently, and now I’m seeing references to it everywhere.",1 month ago,5,1
537,I’m a big fan of wind turbines,1 month ago,4,1
538,"I’m a huge procrastinator, but it’s a good thing cause I’m also suicidal",2 years ago,239,1
539,"I’m a scientist researching bestiality between humans and dogs, so if any of you have any questions for me, you'll find me in my lab.",4 months ago,391,1
540,I’m as straight as the lines on a gay pride flag.,2 months ago,290,1
541,"I’m not passive aggressive, unlike some people.",1 year ago,257,1
542,"I’m not pretty bad, I’m just an oxymoron.",3 days ago,2,1
543,"I’m okay with smoking, alcohol and marijuana, but cocaine is where I draw the line.",10 months ago,587,1
544,I’m on the fence about indecision,24 days ago,20,1
545,I’m probably the most humble person you’ll ever met.,6 days ago,2,1
546,"I’m thinking of reasons to move to Switzerland, and the flag is a big plus.",11 months ago,182,1
547,"I’ve accepted the fact that being cremated is my last hope for a smoking, hot body.",1 month ago,639,1
548,I’ve been trying to leave Rome for weeks but all the roads have this weird design flaw...,11 months ago,40,1
549,I’ve found an origami porn channel but it’s paper view only.,11 months ago,438,1
550,"I’ve just written a song about tortillas; actually, it’s more of a rap.",2 months ago,10,1
551,"I’ve made a website for depressed tennis players, but the servers are currently down.",1 year ago,520,1
552,"Jesus walks into a hotel, hands the receptionist three spikes, and asks, ""Can you put me up for the night?""",26 days ago,7,1
553,Jokes about communism aren't funny unless everyone gets them.,10 months ago,444,1
554,Jokes about communism aren’t funny unless everyone gets them,10 months ago,231,1
555,"Just found out that ""elbows"" is not Spanish for ""the bows"".",16 days ago,8,1
556,Just got a boat load of toilet paper in fresh from china.,6 hours ago,1,1
558,Just heard an inmate with a stutter died in prison before he could finish his sentence.,8 months ago,445,1
559,"Just quit my job as a Ski Instructor.. when I started I was on top of the world, then it all went downhill.",23 days ago,11,1
560,"Just read Steven Tyler's new Chinese cookbook, ""Wok This Way.""",8 months ago,53,1
561,Just snorted my first line of coke so next line I'll join r/twoliners.,8 months ago,267,1
562,"Just so everybody's clear, I'm going to put my glasses on.",1 year ago,383,1
563,"Justice is a dish best served cold because if it were served warm, it would be justwater.",12 months ago,501,1
564,Justice is best served cold because if it was served warm it would be justwater.,10 months ago,329,1
565,Jägermeister should be consumed in an elevator to lift up the spirit.,2 months ago,0,1
566,"Keep the Earth clean, it isn't Uranus!",10 months ago,48,1
567,Keeping the bottom of your feet clean are your shoes’ sole purpose.,1 month ago,10,1
568,"Kill me once, shame on me. Kill me twice, shaman you.",1 year ago,225,1
569,Killing myself would be the last thing I'd ever do.,6 months ago,78,1
570,Kleptomaniac evangelicalists take the Bible literally.,1 year ago,350,1
571,Knitting gives me right pins and needles,11 days ago,7,1
572,"Like most people my age, I'm 45.",7 months ago,448,1
573,Listening to people lecture me about how suicide jokes are offensive makes me want to kill myself,1 year ago,264,1
574,Looking at Medusa makes me hard.,1 year ago,230,1
575,"Losing the bet meant I had to grow a soul patch, but I took it on the chin.",4 days ago,2,1
576,Love it.,7 days ago,2,1
577,Make sure to use protection when having phone sex. I didn't and now I have hearing aids.,1 year ago,222,1
578,"Male actors wear make up, so... maybe you're not ugly, just poor.",1 month ago,1,1
579,"Mark my words, I will be edited.",5 days ago,5,1
580,Maybe in 9 months we're gonna have a baby boom; but in 3 months we're gonna have a divorce boom.,11 hours ago,426,1
581,Me learning to play the kazoo is humming right along.,23 days ago,3,1
582,"Mike Tyson once watched Breaking Bad, he thought it was pretty methed up.",1 year ago,388,1
583,Moderation is key,1 day ago,1,1
584,Monday is an awful way to spend 1/7th of your life.,9 months ago,95,1
585,Money talks...but all mine ever says is good-buy.,5 days ago,17,1
586,Morning Wood is just waking up in the middle of dick diagnostics.,19 days ago,8,1
587,Most people are shocked when they find out how incompetent I am as an electrician.,4 months ago,504,1
588,"Most people think that t-rexes can't clap because they have short arms, but really it's because they are dead",11 months ago,401,1
589,Murder is a form of over-kill.,5 days ago,6,1
590,My 50 year kindergarten reunion is coming up soon and I’m worried about the 175 pounds I’ve gained since then,2 years ago,318,1
591,"My Ford was stolen, now I am unfocused.",1 month ago,6,1
592,"My Indian neighbor told me to get off his lawn but I said “naw man, namaste.”",3 days ago,3,1
593,"My Mom used to say ""The way to a man's heart is through his stomach"". Lovely woman. Terrible surgeon.",29 days ago,30,1
594,My New Year's resolution is going to be 1080p.,2 months ago,334,1
595,My attitude towards gradients tend to slightly change over time...,7 months ago,208,1
596,"My blind wife burned her fingers on the stove, and now she feels bad.",1 month ago,10,1
597,"My boss said he’ll fire the employee with the worst posture and I have a hunch, it might be me.",1 year ago,408,1
598,"My boyfriend and I are made for eachother: he thinks I'm cute when I don't have my glasses on, and I think he's cute when I don't have my glasses on.",1 year ago,352,1
599,My buddy used to date a cross-eyed girl until he found out she was seeing someone on the side.,2 years ago,252,1
600,"My cat spends so much time digging in the litter box, you'd think he'd lost his wallet.",1 month ago,4,1
601,My codependence was so bad I was incapable of being single. But then I started seeing a psychiatrist and wouldn't you guess it: we're getting married in May!,1 month ago,7,1
602,"My cousin is gay; in school while other kids were dissecting frogs, he was opening flies",9 months ago,209,1
603,My current wife hates it when I call her that.,1 month ago,1,1
604,"My dad died because we couldn't remember his blood type. He kept saying 'be positive', but it doesn't make it any easier.",24 days ago,57,1
605,My dad used to be really good at russian roulette.,1 year ago,477,1
606,My dad was so mad at my mom that he just called me son of a bitch.,2 months ago,37,1
607,My dentist girlfriend ditched me and hurt my fillings.,24 days ago,351,1
608,My doctor concluded that I'm severely constipated. I really couldn't give a shit.,6 months ago,23,1
609,My doctor told me i had a drinking problem. Then i told him vodka is a mixture of alcohol suspended in a solvent of water. So i also have a drinking solution.,2 years ago,220,1
610,My dog is a son of a bitch,2 months ago,18,1
611,My extra sensitive toothpaste doesn't like it when I use other toothpastes,1 month ago,444,1
612,My extra sensitive toothpaste doesn't like it when I use other toothpastes.,1 year ago,353,1
613,"My eyes aren’t as sharp as they use to be, I used to stabbed witches with them",1 month ago,1,1
614,My family celebrates Columbus day by breaking into our neighbors house and discovering their furniture.,5 months ago,48,1
615,"My family couldn't agree on whether to get grandpa buried or cremated, so in the end, we just let him live.",6 months ago,367,1
616,My father only hit me once but he used a Ford.,1 year ago,232,1
617,My favorite instrument of torture is the recorder.,4 days ago,2,1
618,My favourite words are former and ladder,11 days ago,2,1
619,My flights are always cheap because all my baggage is emotional,5 months ago,47,1
620,"My friend told me that I just don’t understand irony, which was ironic because we were at a bus stop at the time.",1 year ago,335,1
621,"My girlfriend is obsessed with collecting Beatles albums, she needs Help.",4 months ago,26,1
622,"My girlfriend tells me that I'm indecisive, but I'm not so sure about that.",2 days ago,6,1
623,"My girlfriend told me to go out and get something that would make her look sexy, so I got drunk!",22 days ago,22,1
624,My grandad always used to say sticks and stones can break my bones but words could never hurt me ...until he fell into a printing press,2 months ago,317,1
625,My grandfather has the heart of a lion and a lifetime ban at the zoo,11 months ago,252,1
626,My imaginary girlfriend has real breasts,2 months ago,5,1
627,"My kinky GF wants to put glitter on my testicles, but I think that's pretty nuts.",3 months ago,390,1
628,My last girlfriend couldn't accept my obsession with horoscopes. In the end it Taurus apart.,10 days ago,31,1
629,"My mind is like an internet browser — I have 23 tabs open, 4 are frozen, and I don't know where the music is coming from.",1 year ago,300,1
630,My mother-in-law said my floors are dirty but I beg to swiffer.,1 month ago,7,1
631,My myelin sheath is really getting on my nerves.,6 months ago,209,1
632,"My neighbor was bragging about his new 1.8 liter Honda, so I told him I just bought a 2.0 liter Mountain Dew.",10 months ago,282,1
633,My neighbour keeps racing pigeons but the pigeons always win.,8 months ago,60,1
634,My new film about the death of Jesus is filled with easter eggs.,8 months ago,235,1
635,"My nickname in college was ""The Love Machine"". I sucked at tennis.",1 month ago,418,1
636,"My old cart has advanced features, like lane assist. When I drift out of my lane a female voice shouts ""get back in your damn lane you idiot!' Only seems to work when my wife is in the car.",1 month ago,1,1
637,"My only problem with Avengers: Endgame is that at no time do Benedict Cumberbatch or Robert Downey Jr. say ""No shit, Sherlock"" to each other",10 months ago,837,1
638,My penis made it into the Guinness book of world records. But the librarian told me to take it out,1 year ago,458,1
639,"My record for no nut November, i just beat it",4 months ago,320,1
640,My sexual orientation is straighter than the pole your dad dances for me on.,4 months ago,22,1
641,"My sister dated a magazine salesman, but he had too many issues.",1 month ago,103,1
642,"My son thinks he’s so smart now that he’s learned how to recite pi, and now I’ll never hear the end of it.",1 month ago,587,1
643,My superiority complex is better than yours.,16 days ago,16,1
644,My three favorite things are eating my family and not using commas.,2 years ago,975,1
645,My tripod is broken. I can't stand it.,13 days ago,65,1
646,My uncle's a lion tamer. The bank foreclosed and took nearly everything but at least he still has his pride.,2 months ago,28,1
647,My vacuum cleaner sucks.,29 days ago,6,1
648,"My wife and I decided to spell bad words out so our kids don't learn them, so during our family supper last night l told her ""honey, we should S-T-O-P saying 'shit' in front of the kids.""",3 months ago,70,1
649,My wife got mad at me because I’m bad with directions so I packed up my stuff and right,2 months ago,35,1
650,"My wife is really mad at the fact that I have no sense of direction, so I packed up my stuff and right.",1 year ago,364,1
651,My wife just found out I replaced our bed with a trampoline; she hit the roof.,6 months ago,253,1
652,"My wife likes it when I blow air on her when she's hot, but honestly... I'm not a fan.",6 months ago,534,1
653,My wife was pretty upset when she found out my nickname in college was “The Love Machine”; i was pretty bad at tennis.,11 months ago,179,1
654,Neglect is a topic I've always ignored.,2 months ago,206,1
655,Neil Armstrong's dad once ejaculated so hard that it eventually landed on the moon.,27 days ago,670,1
656,Never challenge Death to a pillow fight unless you're prepared to handle the reaper cushions.,5 months ago,399,1
657,"Never iron a 4-leaf clover, because then you are just pressing your luck.",1 year ago,213,1
658,Never run with scissors and never scissor with the runs,1 month ago,292,1
659,"Never trust an atom, they make up everything.",2 months ago,301,1
660,"New presidential guidelines suggest you don’t have to quarantine, but you should quaranten.",2 hours ago,0,1
661,"No matter how far you push the envelope, it will still be stationary.",1 year ago,211,1
662,"Nobody believed me when I told them I can chop down a tree just by looking at it, but I saw it with my own eyes.",1 year ago,437,1
663,Nostalgia isn’t what it used to be.,25 days ago,505,1
664,"Not sure if they truly repented but, Bonnie & Clyde did become holy by the end of it all.",25 days ago,9,1
665,Nothing is as effective as homeopathy.,3 months ago,48,1
666,Nothing is foolproof to a sufficiently talented fool.,15 days ago,421,1
667,Obama and I have received over 135 million votes combined for president,2 months ago,22,1
668,"Of all the inventions of the last 100 years, the dry erase board has to be the most remarkable.",11 months ago,94,1
669,"Old MacDonald had computers do everything for him, AI AI O.",1 month ago,164,1
670,"On average, every person is the same age.",12 months ago,35,1
671,"On the other hand, you have different fingers.",10 months ago,269,1
672,Once all this Coronavirus shit is done with were all gonna be left with no fingerprints.,1 day ago,0,1
673,"Once you realize Trumps top military adviser is The Beach Boys it makes more sense why he wants to bomb bomb bomb, bomb bomb Iran.",2 months ago,327,1
674,One day i will be a scientist and invent an antiseptic that kills those remaining 0.01% germs.,1 month ago,16,1
675,"One man's ""Damn, she's crazy"" is another man's ""Damn, that dude was right"".",1 month ago,41,1
676,"One night, as I was laying in bed, I looked up at the stars and thought to myself, “what the fuck happened to my roof?”",1 year ago,410,1
677,Only after my friend drove into the lake did he learn the error of his Waze.,6 months ago,246,1
678,Opened a tin of spam found nothing but junk mail,1 month ago,4,1
679,"Our teacher told us that if we don’t learn from our history, then we are doomed to repeat it next semester.",10 months ago,31,1
680,PAEDOPHILES ARE JUST FUCKING IMMATURE ASSHOLES,1 month ago,8,1
681,"Paradoxes are always untrue, except this one.",1 month ago,176,1
682,Parallel lines have so much in common. It’s a shame they’ll never meet,1 month ago,6,1
683,"Parking a single car doesn’t need much space, but parking 200 cars, now that needs a lot...",2 years ago,221,1
684,Paying for a circumcision is such a ripoff,7 months ago,222,1
685,People are often shocked when they realize how bad of an electrician I am.,3 months ago,413,1
686,People are usually shocked when they find out I am not a good electrician.,25 days ago,520,1
687,"People in Dubai don't like the Flintstones, but the people in Abu Dhabi dooo!",9 months ago,267,1
688,"People keep telling me my idea about a glue and rifle shop is stupid, but I'm sticking to my guns",2 months ago,135,1
689,"People often say that my life must be tough living with erectile dysfunction but honestly, it's not so hard.",8 months ago,371,1
690,"People often say “icy” is the easiest word to spell and, looking at it now, I see why.",1 year ago,658,1
691,People seem to like the Chinese flag. It’s got five stars.,1 year ago,248,1
692,"People thought I had a spectrum disorder, until they realized that I was just plain stupid.",24 days ago,2,1
693,"People used to be nicer, these days the average person is mean.",1 year ago,289,1
694,People who buy sex dolls are fucking dummies,1 day ago,789,1
695,"People who cannot distinguish between etymology and entomology, bug me in ways in which I cannot put into words.",1 day ago,648,1
696,People who make bear puns should be mauled.,3 days ago,3,1
697,"People who misuse the word ""literally"" are figuratively Hitler.",12 months ago,232,1
698,People who use hearing protection are being ear-responsible.,21 days ago,529,1
699,"People will hate you for leaving out one of the ""do"" in ""do not do""",2 months ago,3,1
700,People write congrats because they can't spell congrajlashins.,3 months ago,27,1
701,Pop music makes balloons nervous,1 month ago,48,1
702,Probably the worst thing you can hear when you’re wearing a bikini is “Good for you!”,2 years ago,377,1
703,"Put down the phone, close your eyes, and just concentrate on driving.",9 months ago,361,1
704,Quitting smoking is easy; I’ve done it plenty of times.,1 year ago,279,1
705,R Kelly ~ taking the art out of rap artist,7 months ago,334,1
706,"RIP boiling water, you will be mist.",2 years ago,533,1
707,"Rape: short word, long sentence.",1 year ago,224,1
708,"Regardless of price, Velcro is always a rip off",11 months ago,146,1
709,Remains to be seen if glass coffins will be a success.,1 year ago,283,1
710,Riddles That Will Stump You Every Time,9 days ago,1,1
711,SPOILER ALERT: The Never Ending Story ends.,10 months ago,48,1
712,Satan is one hell of a guy.,1 year ago,230,1
713,Secondhand coffins are hard to come by.,11 months ago,29,1
714,Sex is like pizza: I never trust anyone who wants to involve ketchup in it.,2 months ago,8,1
715,Short people with umbrellas sometimes catch my eye.,24 days ago,13,1
716,Shouldn't have eaten that expired ketchup but Heinzsight is 20/20,9 months ago,92,1
717,Shout out to all the people that are hard of hearing!,6 months ago,24,1
718,Shout out to the people wondering what the opposite of in is,4 months ago,41,1
719,Shoutout to sidewalks for keeping me off the streets,1 month ago,48,1
720,Sign language is the least spoken language in the world.,2 years ago,474,1
721,Silence Is the most powerful scream!,7 days ago,2,1
722,Similes - what are they like?,1 month ago,5,1
723,"Smoking will kill you and bacon will kill you, but, smoking bacon, will cure it.",1 year ago,326,1
724,"So I'm reading this fascinating book on Yellowstone Geyser, and the park ranger starts yelling at me, right...",1 month ago,8,1
725,So a shrimp fried my rice?,28 days ago,9,1
726,"So the Dalai Lama walks into a pizza place and asks: ""Can you make me one with everything?""",6 days ago,9,1
727,Some december was the second coming of santa claus,1 month ago,0,1
728,Some people are wise and some otherwise.,9 months ago,249,1
729,Some people prefer their Marvin straight but I prefer my Marvin Gaye.,8 months ago,42,1
730,Some rude kids on the bus just texted each other “I think that old creep is looking at our phones”,6 days ago,720,1
731,Some see the glass as half full... I see the need to knock down the rest of this beer and order another before this ditzy bartender waltzes over to gab with those other patrons for another half hour.,7 days ago,2,1
732,Someone asked me what my occupation was. I said I never got that far because I was always pre-occupied.,3 months ago,214,1
733,"Someone once asked me ""penny for your thoughts"", to which I said ""I think that's pretty cheap, where's my penny?""",1 month ago,4,1
734,"Someone tried to sell me a casket, that's the last thing I need.",4 months ago,25,1
735,Someone who frequents escorts is a buy-sexual.,2 months ago,14,1
736,"Sometimes I order bloody steak, but that’s rare.",14 days ago,22,1
737,"Sommeliers are so ungrapeful, they just wine all day.",2 months ago,6,1
738,"Sorry I slapped you, but it didn't seem like you'd ever stop talking so I panicked.",8 months ago,75,1
739,Sorry but ever since I started a routine of jogging at midnight I have been running late.,2 months ago,439,1
740,"Sperm Bank staff be like ""Get a load of this guy.""",17 days ago,34,1
741,Spice up your panic attack with a kazoo,1 month ago,18,1
742,Spiders are the only true web designers that enjoy finding bugs,4 months ago,114,1
743,Spiders are the only web developers happy to find bugs.,1 month ago,22,1
744,"Stairs may look down to earth, but they're always up to something.",1 month ago,12,1
745,Statistically speaking only 1 in 7 Dwaves are happy,5 days ago,9,1
746,"Statistically, 6 out of 7 dwarves are not happy.",10 months ago,376,1
747,"Steve Irwin died how he lived, with animals in his heart.",7 months ago,309,1
748,Sting has been kidnapped. The Police have no lead.,1 year ago,663,1
749,Suicide is the last thing I'd ever do.,2 months ago,33,1
750,"Sundays are always a little sad, but the day before is a sadder day..",2 months ago,18,1
751,Taller people sleep longer.,9 months ago,306,1
